стихотворение,тема,ритм,рифма,текст,кластеры
«С Марса шлет привет Луне!»
То-то будет восхищенье!
И в седьмое отделенье
От министра поздравленье
Дяде Степе — старшине!
Дядя Степа — ветеранЖил в Москве Степан Степанов
Знатный милиционер.
А теперь Степан Степанов —
Рядовой пенсионер.Ветеран в годах немалых,
Человек уже седой.
Изо всех людей бывалых
Все же самый молодой.Не сидит Степанов дома,
Не глядит весь день в окно
И не ищет он знакомых,
Чтоб сразиться в домино.Чем же занят дядя Степа,
Детства нашего герой?
Как и прежде, дядя Степа
Крепко дружит с детворой.Взять, к примеру, стадион —
Где ребята, там и он!
В зоопарк ребят ведут —
Дядю Степу дети ждут.Вот своим широким шагом
Через площадь он идет.
А вокруг детей ватага —
Любознательный народ.— Расскажите, дядя Степа,
Как живет ваш сын Егор?— Покажите, дядя Степа,
Как глядеть через забор? —
Дядя Степа рад стараться:
— Покажу! Смотрите, братцы!..— Он не знает чувства меры, —
Говорят пенсионеры.
— Дядя Степа и сейчас
Хочет быть моложе нас!* * *Разве что-то есть на свете,
Что надолго можно скрыть?
Пятиклассник Рыбкин Петя
Потихоньку стал курить.У парнишки к сигаретам
Так и тянется рука.
Отстает по всем предметам,
Не узнать ученика!Начал кашлять дурачок.
Вот что значит — табачок!Дядя Степа брови хмурит:
— Кто из вас, ребята, курит?
Я курящих не терплю!
Сам здоровье не гублю!
Вы — сознательный народ!
Тот, кто курит, шаг вперед!За себя один в ответе,
Покраснев при всех как рак,
Пятиклассник Рыбкин Петя
Сделал требуемый шаг.Что тут много говорить?
— Обещаю не курить!Подмигнул Степанов детям,
Руку мальчику пожал…
Знают все, что Рыбкин Петя
Слово данное сдержал.* * *Высоту берет пехота —
В наступлении войска.
Как лягушку, из болота
Кто-то тянет «языка».Даже девочкам не спится,
Им, медсестрам, не до сна…
То идет игра «Зарница» —
Не военная война.Дядя Степа на пригорке
Да еще на бугорке
Наблюдает взглядом зорким
За сраженьем вдалеке.Подбежал Вертушкин Митя,
Просит взводный командир:
— Дядя Степа! Хоть пригнитесь!
Вы ж такой ориентир!Дядя Степа улыбнулся,
Но послушался — пригнулся.Видит бывший старшина:
Хоть играют, а война!* * *Окружили дядю Степу,
Прямо в штаб ведут его:
— Признавайтесь, дядя Степа,
Вы «болели» за кого?— Я не буду отвечать,
Мне положено молчать.
Я задержан. Я в плену.
Ни словечка не сболтну!* * *Как-то утром дядю Степу
Повстречали во дворе;
— Вы куда?
— Лечу в Европу!
Дома буду в сентябре.
Есть билет и есть путевка,
Самолет Москва — Париж.Отказаться ведь неловко:
И не хочешь — полетишь!
Все заходят в самолет:
— Ну, вези, Аэрофлот!Дядя Степа в кресло сел,
Пристегнулся. Завтрак съел.
Только в руки взял газету —
Что такое? Прилетел!
На три точки приземлился
И в Париже очутился.Башню Эйфеля в Париже
Дядя Степа посетил.
«Вы, конечно, чуть пониже!» —
Переводчик пошутил.В старой ратуше туристов
Принимал почтенный мэр,
За Париж бокал искристый
Поднял наш пенсионер.Сидя рядом с партизаном,
О Москве поговорил,
Двум рабочим-ветеранам
По матрешке подарил.Дядю Степу приглашали
И в музей, и в ресторан
И повсюду представляли:
«Это — русский великан!»И однажды, с чемоданом
Сквозь рентген пройдя сперва,
Сел турист Степан Степанов
В самолет Париж — Москва.У окошка в кресло сел.
Пристегнулся. Завтрак съел.
Только взялся за газету —
Что такое? Прилетел!— Как леталось, дядя Степа?
— Как здоровье?
— Как Европа? —
А Степанов всем в ответ:
— Лучше дома — места нет!* * *В пятом классе сбор отряда.
Всем на сбор явиться надо!
Объявляется аврал:
Дядя Степа захворал!Дядя Степа простудился
И в кровати очутился.
А друзья уж тут как тут:
Те вошли, а эти ждут…Кто несет ему варенье,
Кто свое стихотворенье,
Кто заваривает чай:
— Дядя Степа! Вот малина,
Пейте вместо аспирина!
— Дядя Степа! Не скучай!..И, растрогана вниманьем,
Благодарности полна,
Всех встречает тетя Маня —
Дядистепина жена.Не прошло еще недели,
Дядя Степа встал с постели,
Вышел в пятницу во двор,
А навстречу сын Егор.Повстречались сын с отцом,
Каждый смотрит молодцом!— Можешь нас поздравить с дочкой!
Космонавт отцу сказал…
Надо здесь поставить точку.
Дядя Степа дедом стал!* * *Ветеран Степан Степанов,
Если здраво посмотреть,
Должен поздно или рано,
К сожаленью, умереть.Удивительное дело:
День за днем, за годом год,
Столько весен пролетело,
А Степанов все живет!Он и пенсию имеет,
И преклонные года,
Но уже не постареет
Ни за что и никогда!Те, кто знал его когда-то
И ходил с ним в детский сад,
Те сегодня бородаты
И знакомят с ним внучат.Дядя Степа с ними дружит —
Он ребятам верно служит
И готов всегда, везде
Им помочь в любой беде.Знают взрослые и дети,
Весь читающий народ,
Что, живя на белом свете,
Дядя Степа не умрет!",2
80,7,1,0,"Вот она, вот она -
 Наших душ глубина,
 В ней два сердца плывут, как одно, -
 Пора занавесить окно.Пусть в нашем прошлом будут рыться люди странные,
И пусть сочтут они, что стоит все его приданное, -
 Давно назначена цена
 И за обоих внесена -
 Одна любовь, любовь одна.Холодна, холодна
 Голых стен белизна, -
 Но два сердца стучат, как одно,
 И греют, и — настежь окно!Но перестал дарить цветы он просто так, не к случаю,
Любую женщину в кафе теперь считает лучшею.
 И улыбается она
 Случайным людям у окна,
 И привыкает засыпать одна.1978 г.",1
81,4,0,0,"Переправа, переправа!
Берег левый, берег правый,
Снег шершавый, кромка льда…Кому память, кому слава,
Кому темная вода, -
Ни приметы, ни следа.Ночью, первым из колонны,
Обломав у края лед,
Погрузился на понтоны
Первый взвод.
Погрузился, оттолкнулся
И пошел. Второй за ним.
Приготовился, пригнулся
Третий следом за вторым.Как плоты, пошли понтоны,
Громыхнул один, другой
Басовым, железным тоном,
Точно крыша под ногой.И плывут бойцы куда-то,
Притаив штыки в тени.
И совсем свои ребята
Сразу — будто не они,Сразу будто не похожи
На своих, на тех ребят:
Как-то все дружней и строже,
Как-то все тебе дороже
И родней, чем час назад.Поглядеть — и впрямь — ребята!
Как, по правде, желторот,
Холостой ли он, женатый,
Этот стриженый народ.Но уже идут ребята,
На войне живут бойцы,
Как когда-нибудь в двадцатом
Их товарищи — отцы.Тем путем идут суровым,
Что и двести лет назад
Проходил с ружьем кремневым
Русский труженик-солдат.Мимо их висков вихрастых,
Возле их мальчишьих глаз
Смерть в бою свистела часто
И минет ли в этот раз?Налегли, гребут, потея,
Управляются с шестом.
А вода ревет правее —
Под подорванным мостом.Вот уже на середине
Их относит и кружит…
А вода ревет в теснине,
Жухлый лед в куски крошит,
Меж погнутых балок фермы
Бьется в пене и в пыли…А уж первый взвод, наверно,
Достает шестом земли.Позади шумит протока,
И кругом — чужая ночь.
И уже он так далеко,
Что ни крикнуть, ни помочь.И чернеет там зубчатый,
За холодною чертой,
Неподступный, непочатый
Лес над черною водой.Переправа, переправа!
Берег правый, как стена…Этой ночи след кровавый
В море вынесла волна.Было так: из тьмы глубокой,
Огненный взметнув клинок,
Луч прожектора протоку
Пересек наискосок.И столбом поставил воду
Вдруг снаряд. Понтоны — в ряд.
Густо было там народу —
Наших стриженых ребят…И увиделось впервые,
Не забудется оно:
Люди теплые, живые
Шли на дно, на дно, на дно…Под огнем неразбериха —
Где свои, где кто, где связь?Только вскоре стало тихо, —
Переправа сорвалась.И покамест неизвестно,
Кто там робкий, кто герой,
Кто там парень расчудесный,
А наверно, был такой.Переправа, переправа…
Темень, холод. Ночь как год.Но вцепился в берег правый,
Там остался первый взвод.И о нем молчат ребята
В боевом родном кругу,
Словно чем-то виноваты,
Кто на левом берегу.Не видать конца ночлегу.
За ночь грудою взялась
Пополам со льдом и снегом
Перемешанная грязь.И усталая с похода,
Что б там ни было, — жива,
Дремлет, скорчившись, пехота,
Сунув руки в рукава.Дремлет, скорчившись, пехота,
И в лесу, в ночи глухой
Сапогами пахнет, потом,
Мерзлой хвоей и махрой.Чутко дышит берег этот
Вместе с теми, что на том
Под обрывом ждут рассвета,
Греют землю животом, -
Ждут рассвета, ждут подмоги,
Духом падать не хотят.Ночь проходит, нет дороги
Ни вперед и ни назад…А быть может, там с полночи
Порошит снежок им в очи,
И уже давно
Он не тает в их глазницах
И пыльцой лежит на лицах —
Мертвым все равно.Стужи, холода не слышат,
Смерть за смертью не страшна,
Хоть еще паек им пишет
Первой роты старшина.Старшина паек им пишет,
А по почте полевой
Не быстрей идут, не тише
Письма старые домой,Что еще ребята сами
На привале при огне
Где-нибудь в лесу писали
Друг у друга на спине…Из Рязани, из Казани,
Из Сибири, из Москвы —
Спят бойцы.
Свое сказали
И уже навек правы.И тверда, как камень, груда,
Где застыли их следы…Может — так, а может — чудо?
Хоть бы знак какой оттуда,
И беда б за полбеды.Долги ночи, жестки зори
В ноябре — к зиме седой.Два бойца сидят в дозоре
Над холодною водой.То ли снится, то ли мнится,
Показалось что невесть,
То ли иней на ресницах,
То ли вправду что-то есть?Видят — маленькая точка
Показалась вдалеке:
То ли чурка, то ли бочка
Проплывает по реке?— Нет, не чурка и не бочка —
Просто глазу маята.
— Не пловец ли одиночка?
— Шутишь, брат. Вода не та!
Да, вода… Помыслить страшно.
Даже рыбам холодна.
— Не из наших ли вчерашних
Поднялся какой со дна?..Оба разом присмирели.
И сказал один боец:
— Нет, он выплыл бы в шинели,
С полной выкладкой, мертвец.Оба здорово продрогли,
Как бы ни было, — впервой.Подошел сержант с биноклем.
Присмотрелся: нет, живой.
— Нет, живой. Без гимнастерки.
— А не фриц? Не к нам ли в тыл?
— Нет. А может, это Теркин? —
Кто-то робко пошутил.— Стой, ребята, не соваться,
Толку нет спускать понтон.
— Разрешите попытаться?
— Что пытаться!
— Братцы, — он!И, у заберегов корку
Ледяную обломав,
Он как он, Василий Теркин,
Встал живой, — добрался вплавь.Гладкий, голый, как из бани,
Встал, шатаясь тяжело.
Ни зубами, ни губами
Не работает — свело.Подхватили, обвязали,
Дали валенки с ноги.
Пригрозили, приказали —
Можешь, нет ли, а беги.Под горой, в штабной избушке,
Парня тотчас на кровать
Положили для просушки,
Стали спиртом растирать.Растирали, растирали…
Вдруг он молвит, как во сне:
— Доктор, доктор, а нельзя ли
Изнутри погреться мне,
Чтоб не все на кожу тратить?Дали стопку — начал жить,
Приподнялся на кровати:
— Разрешите доложить.
Взвод на правом берегу
Жив-здоров назло врагу!
Лейтенант всего лишь просит
Огоньку туда подбросить.
А уж следом за огнем
Встанем, ноги разомнем.
Что там есть, перекалечим,
Переправу обеспечим…Доложил по форме, словно
Тотчас плыть ему назад.— Молодец! — сказал полковник.—
Молодец! Спасибо, брат.И с улыбкою неробкой
Говорит тогда боец:
— А еще нельзя ли стопку,
Потому как молодец?Посмотрел полковник строго,
Покосился на бойца.
— Молодец, а будет много —
Сразу две.
— Так два ж конца…Переправа, переправа!
Пушки бьют в кромешной мгле.Бой идет святой и правый.
Смертный бой не ради славы,
Ради жизни на земле.


Читать полное произведение﻿",0
82,13,1,0,"Отрывок из пьесы «Гамлет» У. Шекспира
в переводе Б. ПастернакаБыть или не быть, вот в чем вопрос. Достойно ль
Смиряться под ударами судьбы,
Иль надо оказать сопротивленье
И в смертной схватке с целым морем бед
Покончить с ними? Умереть. Забыться.
И знать, что этим обрываешь цепь
Сердечных мук и тысячи лишений,
Присущих телу. Это ли не цель
Желанная? Скончаться. Сном забыться.
Уснуть… и видеть сны? Вот и ответ.
Какие сны в том смертном сне приснятся,
Когда покров земного чувства снят?
Вот в чем разгадка. Вот что удлиняет
Несчастьям нашим жизнь на столько лет.
А то кто снес бы униженья века,
Неправду угнетателей, вельмож
Заносчивость, отринутое чувство,
Нескорый суд и более всего
Насмешки недостойных над достойным,
Когда так просто сводит все концы
Удар кинжала! Кто бы согласился,
Кряхтя, под ношей жизненной плестись,
Когда бы неизвестность после смерти,
Боязнь страны, откуда ни один
Не возвращался, не склоняла воли
Мириться лучше со знакомым злом,
Чем бегством к незнакомому стремиться!
Так всех нас в трусов превращает мысль,
И вянет, как цветок, решимость наша
В бесплодье умственного тупика,
Так погибают замыслы с размахом,
В начале обещавшие успех,
От долгих отлагательств. Но довольно!
Офелия! О радость! Помяни
Мои грехи в своих молитвах, нимфа.",1
83,13,1,0,"Тебе — но голос музы тёмной
Коснется ль уха твоего?
Поймешь ли ты душою скромной
Стремленье сердца моего?
Иль посвящение поэта,
Как некогда его любовь,
Перед тобою без ответа
Пройдет, непризнанное вновь?
Узнай, по крайней мере, звуки,
Бывало, милые тебе —
И думай, что во дни разлуки,
В моей изменчивой судьбе,
Твоя печальная пустыня,
Последний звук твоих речей
Одно сокровище, святыня,
Одна любовь души моей.
Богат и славен Кочубей.
Его луга необозримы;
Там табуны его коней
Пасутся вольны, нехранимы.
Кругом Полтавы хутора
Окружены его садами,
И много у него добра,
Мехов, атласа, серебра
И на виду и под замками.
Но Кочубей богат и горд
Не долгогривыми конями,
Не златом, данью крымских орд,
Не родовыми хуторами,
Прекрасной дочерью своей
Гордится старый Кочубей.
И то сказать: в Полтаве нет
Красавицы, Марии равной.
Она свежа, как вешний цвет,
Взлелеянный в тени дубравной.
Как тополь киевских высот,
Она стройна. Ее движенья
То лебедя пустынных вод
Напоминают плавный ход,
То лани быстрые стремленья.
Как пена, грудь ее бела.
Вокруг высокого чела,
Как тучи, локоны чернеют.
Звездой блестят ее глаза;
Ее уста, как роза, рдеют.
Но не единая краса
(Мгновенный цвет!) молвою шумной
В младой Марии почтена:
Везде прославилась она
Девицей скромной и разумной.
За то завидных женихов
Ей шлет Украйна и Россия;
Но от венца, как от оков,
Бежит пугливая Мария.
Всем женихам отказ — и вот
За ней сам гетман сватов шлет.
Он стар. Он удручен годами,
Войной, заботами, трудами;
Но чувства в нем кипят, и вновь
Мазепа ведает любовь.
Мгновенно сердце молодое
Горит и гаснет. В нем любовь
Проходит и приходит вновь,
В нем чувство каждый день иное:
Не столь послушно, не слегка,
Не столь мгновенными страстями
Пылает сердце старика,
Окаменелое годами.
Упорно, медленно оно
В огне страстей раскалено;
Но поздний жар уж не остынет
И с жизнью лишь его покинет.
Не серна под утес уходит,
Орла послыша тяжкой лёт;
Одна в сенях невеста бродит,
Трепещет и решенья ждет.
И вся полна негодованьем
К ней мать идет и, с содроганьем
Схватив ей руку, говорит:
«Бесстыдный! старец нечестивый!
Возможно ль?.. нет, пока мы живы,
Нет! он греха не совершит.
Он, должный быть отцом и другом
Невинной крестницы своей…
Безумец! на закате дней
Он вздумал быть ее супругом».
Мария вздрогнула. Лицо
Покрыла бледность гробовая,
И охладев как неживая
Упала дева на крыльцо.
Она опомнилась, но снова
Закрыла очи — и ни слова
Не говорит. Отец и мать
Ей сердце ищут успокоить,
Боязнь и горесть разогнать,
Тревогу смутных дум устроить…
Напрасно. Целые два дня,
То молча плача, то стеня,
Мария не пила, не ела,
Шатаясь, бледная как тень,
Не зная сна. На третий день
Ее светлица опустела.
Никто не знал, когда и как
Она сокрылась. Лишь рыбак
Той ночью слышал конской топот,
Казачью речь и женской шопот,
И утром след осьми подков
Был виден на росе лугов.
Не только первый пух ланит
Да русы кудри молодые,
Порой и старца строгой вид,
Рубцы чела, власы седые
В воображенье красоты
Влагают страстные мечты.
И вскоре слуха Кочубея
Коснулась роковая весть:
Она забыла стыд и честь,
Она в объятиях злодея!
Какой позор! Отец и мать
Молву не смеют понимать.
Тогда лишь истина явилась
С своей ужасной наготой.
Тогда лишь только объяснилась
Душа преступницы младой.
Тогда лишь только стало явно,
Зачем бежала своенравно
Она семейственных оков,
Томилась тайно, воздыхала
И на приветы женихов
Молчаньем гордым отвечала;
Зачем так тихо за столом
Она лишь гетману внимала,
Когда беседа ликовала
И чаша пенилась вином;
Зачем она всегда певала
Те песни, кои он слагал,
Когда он беден был и мал,
Когда молва его не знала;
Зачем с неженскою душой
Она любила конный строй,
И бранный звон литавр и клики
Пред бунчуком и булавой
Малороссийского владыки….
Богат и знатен Кочубей.
Довольно у него друзей.
Свою омыть он может славу.
Он может возмутить Полтаву;
Внезапно средь его дворца
Он может мщением отца
Постигнуть гордого злодея;
Он может верною рукой
Вонзить… но замысел иной
Волнует сердце Кочубея.
Была та смутная пора,
Когда Россия молодая,
В бореньях силы напрягая,
Мужала с гением Петра.
Суровый был в науке славы
Ей дан учитель; не один
Урок нежданый и кровавый
Задал ей шведской паладин.
Но в искушеньях долгой кары
Перетерпев судеб удары,
Окрепла Русь. Так тяжкой млат,
Дробя стекло, кует булат.
Венчанный славой бесполезной,
Отважный Карл скользил над бездной.
Он шел на древнюю Москву,
Взметая русские дружины,
Как вихорь гонит прах долины
И клонит пыльную траву.
Он шел путем, где след оставил
В дни наши новый, сильный враг,
Когда падением ославил
Муж рока свой попятный шаг.
Украйна глухо волновалась,
Давно в ней искра разгоралась.
Друзья кровавой старины
Народной чаяли войны,
Роптали, требуя кичливо,
Чтоб гетман узы их расторг,
И Карла ждал нетерпеливо
Их легкомысленный восторг.
Вокруг Мазепы раздавался
Мятежный крик: пора, пора!
Но старый гетман оставался
Послушным подданным Петра.
Храня суровость обычайну,
Спокойно ведал он Украйну,
Молве, казалось, не внимал
И равнодушно пировал.
«Что ж гетман? — юноши твердили,
Он изнемог; он слишком стар;
Труды и годы угасили
В нем прежний, деятельный жар.
Зачем дрожащею рукою
Еще он носит булаву?
Теперь бы грянуть нам войною
На ненавистную Москву!
Когда бы старый Дорошенко,
Иль Самойлович молодой,
Иль наш Палей, иль Гордеенко
Владели силой войсковой;
Тогда б в снегах чужбины дальной
Не погибали казаки,
И Малороссии печальной
Освобождались уж полки».
Так, своеволием пылая,
Роптала юность удалая,
Опасных алча перемен,
Забыв отчизны давний плен,
Богдана счастливые споры,
Святые брани, договоры
И славу дедовских времен.
Но старость ходит осторожно
И подозрительно глядит.
Чего нельзя и что возможно,
Еще не вдруг она решит.
Кто снидет в глубину морскую,
Покрытую недвижно льдом?
Кто испытующим умом
Проникнет бездну роковую
Души коварной? Думы в ней,
Плоды подавленных страстей,
Лежат погружены глубоко,
И замысел давнишних дней,
Быть может, зреет одиноко.
Как знать? Но чем Мазепа злей,
Чем сердце в нем хитрей и ложней,
Тем с виду он неосторожней
И в обхождении простей.
Как он умеет самовластно
Сердца привлечь и разгадать,
Умами править безопасно,
Чужие тайны разрешать!
С какой доверчивостью лживой,
Как добродушно на пирах
Со старцами старик болтливый
Жалеет он о прошлых днях,
Свободу славит с своевольным,
Поносит власти с недовольным,
С ожесточенным слезы льет,
С глупцом разумну речь ведет!
Не многим, может быть, известно,
Что дух его неукротим,
Что рад и честно и бесчестно
Вредить он недругам своим;
Что ни единой он обиды
С тех пор как жив не забывал,
Что далеко преступны виды
Старик надменный простирал;
Что он не ведает святыни,
Что он не помнит благостыни,
Что он не любит ничего,
Что кровь готов он лить как воду,
Что презирает он свободу,
Что нет отчизны для него.
Издавна умысел ужасный
Взлелеял тайно злой старик
В душе своей. Но взор опасный,
Враждебный взор его проник.
«Нет, дерзкий хищник, нет, губитель! —
Скрежеща мыслит Кочубей, —
Я пощажу твою обитель,
Темницу дочери моей;
Ты не истлеешь средь пожара,
Ты не издохнешь от удара
Казачей сабли. Нет, злодей,
В руках московских палачей,
В крови, при тщетных отрицаньях,
На дыбе, корчась в истязаньях,
Ты проклянешь и день и час,
Когда ты дочь крестил у нас,
И пир, на коем чести чашу
Тебе я полну наливал,
И ночь, когда голубку нашу
Ты, старый коршун, заклевал!..»
Так! было время: с Кочубеем
Был друг Мазепа; в оны дни
Как солью, хлебом и елеем,
Делились чувствами они.
Их кони по полям победы
Скакали рядом сквозь огни;
Нередко долгие беседы
Наедине вели они —
Пред Кочубеем гетман скрытный
Души мятежной ненасытной
Отчасти бездну открывал
И о грядущих измененьях,
Переговорах, возмущеньях
В речах неясных намекал.
Так, было сердце Кочубея
В то время предано ему.
Но в горькой злобе свирепея,
Теперь позыву одному
Оно послушно; он голубит
Едину мысль и день и ночь:
Иль сам погибнет, иль погубит —
Отмстит поруганную дочь.
Но предприимчивую злобу
Он крепко в сердце затаил.
«В бессильной горести, ко гробу
Теперь он мысли устремил.
Он зла Мазепе не желает;
Всему виновна дочь одна.
Но он и дочери прощает:
Пусть богу даст ответ она,
Покрыв семью свою позором,
Забыв и небо и закон….»
А между тем орлиным взором
В кругу домашнем ищет он
Себе товарищей отважных,
Неколебимых, непродажных.
Во всем открылся он жене:
Давно в глубокой тишине
Уже донос он грозный копит,
И гнева женского полна
Нетерпеливая жена
Супруга злобного торопит.
В тиши ночей, на ложе сна,
Как некой дух, ему она
О мщеньи шепчет, укоряет,
И слезы льет, и ободряет,
И клятвы требует — и ей
Клянется мрачный Кочубей.
Удар обдуман. С Кочубеем
Бесстрашный Искра заодно.
И оба мыслят: «Одолеем;
Врага паденье решено.
Но кто ж, усердьем пламенея,
Ревнуя к общему добру,
Донос на мощного злодея
Предубежденному Петру
К ногам положит не робея?»
Между полтавских казаков,
Презренных девою несчастной,
Один с младенческих годов
Ее любил любовью страстной.
Вечерней, утренней порой,
На берегу реки родной,
В тени украинских черешен,
Бывало, он Марию ждал,
И ожиданием страдал,
И краткой встречей был утешен.
Он без надежд ее любил,
Не докучал он ей мольбою:
Отказа б он не пережил.
Когда наехали толпою
К ней женихи, из их рядов
Уныл и сир он удалился.
Когда же вдруг меж казаков
Позор Мариин огласился,
И беспощадная молва
Ее со смехом поразила,
И тут Мария сохранила
Над ним привычные права.
Но если кто хотя случайно
Пред ним Мазепу называл,
То он бледнел, терзаясь тайно,
И взоры в землю опускал.
Кто при звездах и при луне
Так поздно едет на коне?
Чей это конь неутомимый
Бежит в степи необозримой?
Казак на север держит путь,
Казак не хочет отдохнуть
Ни в чистом поле, ни в дубраве,
Ни при опасной переправе.
Как сткло булат его блестит,
Мешок за пазухой звенит,
Не спотыкаясь конь ретивый
Бежит, размахивая гривой.
Червонцы нужны для гонца,
Булат потеха молодца,
Ретивый конь потеха тоже —
Но шапка для него дороже.
За шапку он оставить рад
Коня, червонцы и булат,
Но выдаст шапку только с бою,
И то лишь с буйной головою.
Зачем он шапкой дорожит?
За тем, что в ней донос зашит,
Донос на гетмана злодея
Царю Петру от Кочубея.
Грозы не чуя между тем,
Неужасаемый ничем,
Мазепа козни продолжает.
С ним полномощный езуит
Мятеж народный учреждает
И шаткой трон ему сулит.
Во тьме ночной они как воры
Ведут свои переговоры,
Измену ценят меж собой,
Слагают цыфр универсалов,
Торгуют царской головой,
Торгуют клятвами вассалов.
Какой-то нищий во дворец
Неведомо отколе ходит,
И Орлик, гетманов делец,
Его приводит и выводит.
Повсюду тайно сеют яд
Его подосланные слуги:
Там на Дону казачьи круги
Они с Булавиным мутят;
Там будят диких орд отвагу;
Там за порогами Днепра
Стращают буйную ватагу
Самодержавием Петра.
Маэепа всюду взор кидает
И письма шлет из края в край:
Угрозой хитрой подымает
Он на Москву Бахчисарай.
Король ему в Варшаве внемлет,
В стенах Очакова паша,
Во стане Карл и царь. 
Не дремлет
Его коварная душа;
Он, думой думу развивая,
Верней готовит свой удар;
В нем не слабеет воля злая,
Неутомим преступный жар.
Но как он вздрогнул, как воспрянул,
Когда пред ним незапно грянул
Упадший гром! когда ему,
Врагу России самому,
Вельможи русские послали
В Полтаве писанный донос
И вместо праведных угроз,
Как жертве, ласки расточали;
И озабоченный войной,
Гнушаясь мнимой клеветой,
Донос оставя без вниманья,
Сам царь Иуду утешал
И злобу шумом наказанья
Смирить надолго обещал!
Мазепа, в горести притворной,
К царю возносит глас покорный.
«И знает бог, и видит свет:
Он, бедный гетман, двадцать лет
Царю служил душою верной;
Его щедротою безмерной
Осыпан, дивно вознесен…
О, как слепа, безумна злоба!..
Ему ль теперь у двери гроба
Начать учение измен,
И потемнять благую славу?
Не он ли помощь Станиславу
С негодованьем отказал,
Стыдясь, отверг венец Украйны
И договор и письма тайны
К царю, по долгу, отослал?
Не он ли наущеньям хана
И цареградского салтана
Был глух? Усердием горя,
С врагами белого царя
Умом и саблей рад был спорить,
Трудов и жизни не жалел,
И ныне злобный недруг смел
Его седины опозорить!
И кто же? Искра, Кочубей!
Так долго быв его друзьями!..»
И с кровожадными слезами,
В холодной дерзости своей,
Их казни требует злодей…
Чьей казни?.. старец непреклонный!
Чья дочь в объятиях его?
Но хладно сердца своего
Он заглушает ропот сонный.
Он говорит: «В неравный спор
Зачем вступает сей безумец?
Он сам, надменный вольнодумец,
Сам точит на себя топор.
Куда бежит, зажавши вежды?
На чем он основал надежды?
Или… но дочери любовь
Главы отцовской не искупит.
Любовник гетману уступит,
Не то моя прольется кровь.»
Мария, бедная Мария,
Краса черкасских дочерей!
Не знаешь ты, какого змия
Ласкаешь на груди своей.
Какой же властью непонятной
К душе свирепой и развратной
Так сильно ты привлечена?
Кому ты в жертву отдана?
Его кудрявые седины,
Его глубокие морщины,
